codeindyr;code;countryname;year;indicator;estimate;stddev;nsource;pctrank;pctranklower;pctrankupper
AFGcc2023;AFG;Afghanistan;2023;cc;-1,15;0,17;8;13,7;6,1;20,8
ALBcc2023;ALB;Albania;2023;cc;-0,33;0,16;9;43,4;29,7;51,9
DZAcc2023;DZA;Algeria;2023;cc;-0,59;0,17;8;30,2;20,8;45,3
ASMcc2023;ASM;American Samoa;2023;cc;1,25;0,46;1;87,7;65,6;96,7
ADOcc2023;ADO;Andorra;2023;cc;1,25;0,46;1;87,7;65,6;96,7
AGOcc2023;AGO;Angola;2023;cc;-0,61;0,16;10;29,2;20,8;42,5
AIAcc2023;AIA;Anguilla;2023;cc;1,25;0,46;1;87,7;65,6;96,7
ATGcc2023;ATG;Antigua and Barbuda;2023;cc;0,33;0,29;2;62,3;49,5;78,3
ARGcc2023;ARG;Argentina;2023;cc;-0,36;0,17;10;42,0;27,8;51,4
ARMcc2023;ARM;Armenia;2023;cc;0,06;0,18;8;57,1;47,2;62,7
ABWcc2023;ABW;Aruba;2023;cc;0,71;0,30;2;75,5;60,4;84,4
AUScc2023;AUS;Australia;2023;cc;1,78;0,17;9;95,8;90,6;98,1
AUTcc2023;AUT;Austria;2023;cc;1,13;0,16;10;83,5;79,2;90,1
AZEcc2023;AZE;Azerbaijan;2023;cc;-1,20;0,18;6;12,3;4,2;20,3
BHScc2023;BHS;Bahamas;2023;cc;1,27;0,20;5;88,2;79,7;92,9
BHRcc2023;BHR;Bahrain;2023;cc;0,18;0,19;7;59,4;50,5;65,6
BGDcc2023;BGD;Bangladesh;2023;cc;-1,12;0,16;12;14,6;7,5;20,8
BRBcc2023;BRB;Barbados;2023;cc;1,34;0,20;6;89,6;81,1;94,8
BLRcc2023;BLR;Belarus;2023;cc;-0,67;0,16;7;26,9;19,8;39,6
BELcc2023;BEL;Belgium;2023;cc;1,34;0,17;9;89,2;82,1;92,9
BLZcc2023;BLZ;Belize;2023;cc;-0,23;0,23;4;48,1;29,2;59,0
BENcc2023;BEN;Benin;2023;cc;-0,05;0,16;12;52,8;43,9;60,8
BMUcc2023;BMU;Bermuda;2023;cc;1,25;0,46;1;87,7;65,6;96,7
BTNcc2023;BTN;Bhutan;2023;cc;1,53;0,20;7;91,0;84,4;95,8
BOLcc2023;BOL;Bolivia;2023;cc;-0,84;0,16;10;21,7;15,1;31,1
BIHcc2023;BIH;Bosnia and Herzegovina;2023;cc;-0,58;0,17;9;30,7;21,2;45,3
BWAcc2023;BWA;Botswana;2023;cc;0,69;0,16;11;73,6;64,6;80,2
BRAcc2023;BRA;Brazil;2023;cc;-0,50;0,17;10;34,4;23,6;47,2
BRNcc2023;BRN;Brunei Darussalam;2023;cc;1,28;0,25;3;88,7;79,2;94,8
BGRcc2023;BGR;Bulgaria;2023;cc;-0,14;0,14;12;50,0;40,6;58,0
BFAcc2023;BFA;Burkina Faso;2023;cc;-0,17;0,16;12;49,5;38,2;57,1
BDIcc2023;BDI;Burundi;2023;cc;-1,56;0,19;8;3,3;0,0;9,9
KHMcc2023;KHM;Cambodia;2023;cc;-1,30;0,16;11;9,4;2,8;17,0
CMRcc2023;CMR;Cameroon;2023;cc;-1,16;0,15;13;13,2;6,6;19,8
CANcc2023;CAN;Canada;2023;cc;1,67;0,18;9;94,8;89,6;96,7
CPVcc2023;CPV;Cape Verde;2023;cc;0,98;0,21;8;81,1;71,7;88,7
CYMcc2023;CYM;Cayman Islands;2023;cc;0,44;0,30;2;65,1;51,9;79,7
CAFcc2023;CAF;Central African Republic;2023;cc;-1,31;0,19;9;9,0;1,9;17,9
TCDcc2023;TCD;Chad;2023;cc;-1,48;0,18;11;4,7;0,0;12,3
CHLcc2023;CHL;Chile;2023;cc;0,97;0,17;10;80,7;74,1;84,4
CHNcc2023;CHN;China;2023;cc;-0,01;0,16;9;54,2;46,7;60,8
COLcc2023;COL;Colombia;2023;cc;-0,31;0,16;11;44,8;30,7;52,8
COMcc2023;COM;Comoros;2023;cc;-0,99;0,24;7;19,3;6,6;30,2
ZARcc2023;ZAR;Congo Dem. Rep.;2023;cc;-1,48;0,15;12;5,2;0,9;10,4
COGcc2023;COG;Congo Rep.;2023;cc;-1,35;0,16;10;8,0;1,9;15,6
COKcc2023;COK;Cook Islands;2023;cc;0,03;1,06;1;55,7;0,9;95,3
CRIcc2023;CRI;Costa Rica;2023;cc;0,65;0,17;10;72,6;63,2;79,7
HRVcc2023;HRV;Croatia;2023;cc;0,18;0,15;11;59,9;51,9;64,6
CUBcc2023;CUB;Cuba;2023;cc;-0,06;0,20;5;52,4;39,6;60,8
CYPcc2023;CYP;Cyprus;2023;cc;0,33;0,17;9;62,7;57,1;69,8
CZEcc2023;CZE;Czech Republic;2023;cc;0,77;0,15;11;76,9;66,0;81,1
CIVcc2023;CIV;Cote d'Ivoire;2023;cc;-0,31;0,15;14;44,3;32,1;51,9
DNKcc2023;DNK;Denmark;2023;cc;2,38;0,17;9;100,0;98,6;100,0
DJIcc2023;DJI;Djibouti;2023;cc;-0,78;0,19;8;23,6;15,6;36,8
DMAcc2023;DMA;Dominica;2023;cc;0,54;0,25;3;67,5;59,0;80,2
DOMcc2023;DOM;Dominican Republic;2023;cc;-0,45;0,17;9;37,7;25,0;49,5
ECUcc2023;ECU;Ecuador;2023;cc;-0,65;0,17;9;27,8;19,8;41,0
EGYcc2023;EGY;Egypt Arab Rep.;2023;cc;-0,75;0,16;9;24,5;17,5;36,8
SLVcc2023;SLV;El Salvador;2023;cc;-0,56;0,16;11;32,1;22,2;45,3
GNQcc2023;GNQ;Equatorial Guinea;2023;cc;-1,57;0,23;5;2,8;0,0;11,8
ERIcc2023;ERI;Eritrea;2023;cc;-1,48;0,19;8;5,7;0,0;13,2
ESTcc2023;EST;Estonia;2023;cc;1,54;0,14;12;91,5;88,7;95,3
SWZcc2023;SWZ;Eswatini;2023;cc;-0,73;0,21;8;25,0;15,6;39,2
ETHcc2023;ETH;Ethiopia;2023;cc;-0,47;0,16;11;37,3;25,0;48,1
FJIcc2023;FJI;Fiji;2023;cc;0,51;0,30;4;66,0;54,7;81,1
FINcc2023;FIN;Finland;2023;cc;2,22;0,17;9;99,5;96,7;100,0
FRAcc2023;FRA;France;2023;cc;1,18;0,16;10;84,0;79,7;90,1
GUFcc2023;GUF;French Guiana;2023;cc;0,94;0,30;2;80,2;65,1;90,1
GABcc2023;GAB;Gabon;2023;cc;-1,02;0,17;9;17,9;9,0;25,0
GMBcc2023;GMB;Gambia;2023;cc;-0,28;0,15;13;46,2;33,0;52,8
GEOcc2023;GEO;Georgia;2023;cc;0,62;0,17;9;71,2;62,7;79,2
DEUcc2023;DEU;Germany;2023;cc;1,66;0,16;10;94,3;89,6;96,7
GHAcc2023;GHA;Ghana;2023;cc;-0,10;0,15;15;51,4;42,9;59,0
GRCcc2023;GRC;Greece;2023;cc;0,10;0,16;10;58,0;49,1;63,2
GRLcc2023;GRL;Greenland;2023;cc;1,03;0,37;1;82,1;64,6;93,9
GRDcc2023;GRD;Grenada;2023;cc;0,56;0,25;4;68,4;59,0;80,7
GUMcc2023;GUM;Guam;2023;cc;1,25;0,46;1;87,7;65,6;96,7
GTMcc2023;GTM;Guatemala;2023;cc;-1,12;0,17;9;14,2;6,6;21,2
GINcc2023;GIN;Guinea;2023;cc;-0,90;0,16;12;20,3;13,7;27,8
GNBcc2023;GNB;Guinea-Bissau;2023;cc;-1,18;0,20;8;12,7;4,2;21,2
GUYcc2023;GUY;Guyana;2023;cc;-0,38;0,18;6;40,6;25,9;51,4
HTIcc2023;HTI;Haiti;2023;cc;-1,44;0,16;9;6,1;0,9;12,7
HNDcc2023;HND;Honduras;2023;cc;-1,11;0,16;11;15,1;7,5;21,2
HKGcc2023;HKG;Hong Kong;2023;cc;1,63;0,17;10;93,4;89,6;96,2
HUNcc2023;HUN;Hungary;2023;cc;0,00;0,14;12;54,7;47,2;60,8
ISLcc2023;ISL;Iceland;2023;cc;1,55;0,20;7;92,0;84,4;96,2
INDcc2023;IND;India;2023;cc;-0,37;0,15;12;41,5;28,8;50,5
IDNcc2023;IDN;Indonesia;2023;cc;-0,49;0,15;12;36,3;24,5;47,2
IRNcc2023;IRN;Iran;2023;cc;-1,23;0,17;7;10,4;3,8;19,8
IRQcc2023;IRQ;Iraq;2023;cc;-1,32;0,20;7;8,5;1,9;18,9
IRLcc2023;IRL;Ireland;2023;cc;1,58;0,17;9;92,9;88,7;95,8
ISRcc2023;ISR;Israel;2023;cc;0,83;0,20;7;78,8;65,6;83,5
ITAcc2023;ITA;Italy;2023;cc;0,55;0,17;9;67,9;60,8;78,3
JAMcc2023;JAM;Jamaica;2023;cc;-0,11;0,17;9;50,9;39,6;59,0
JPNcc2023;JPN;Japan;2023;cc;1,40;0,17;9;90,1;82,5;94,8
JEYcc2023;JEY;Jersey;2023;cc;1,03;0,37;1;82,1;64,6;93,9
JORcc2023;JOR;Jordan;2023;cc;0,09;0,17;9;57,5;48,6;63,2
KAZcc2023;KAZ;Kazakhstan;2023;cc;-0,27;0,15;10;47,2;33,0;53,8
KENcc2023;KEN;Kenya;2023;cc;-0,77;0,15;13;24,1;17,5;33,0
KIRcc2023;KIR;Kiribati;2023;cc;0,41;0,35;3;64,2;49,5;81,1
PRKcc2023;PRK;Korea Dem. Rep.;2023;cc;-1,58;0,20;5;2,4;0,0;9,9
KORcc2023;KOR;Korea Rep.;2023;cc;0,89;0,16;10;79,7;71,7;83,5
KSVcc2023;KSV;Kosovo;2023;cc;-0,19;0,16;9;48,6;37,3;57,1
KWTcc2023;KWT;Kuwait;2023;cc;0,21;0,17;8;60,4;51,9;65,6
KGZcc2023;KGZ;Kyrgyz Republic;2023;cc;-1,22;0,15;12;11,3;5,7;19,8
LAOcc2023;LAO;Lao PDR;2023;cc;-0,97;0,19;8;19,8;9,4;26,9
LVAcc2023;LVA;Latvia;2023;cc;0,70;0,15;11;74,5;65,6;80,2
LBNcc2023;LBN;Lebanon;2023;cc;-1,23;0,18;7;10,8;3,8;19,8
LSOcc2023;LSO;Lesotho;2023;cc;-0,51;0,18;12;33,5;23,1;48,1
LBRcc2023;LBR;Liberia;2023;cc;-0,89;0,15;13;20,8;13,7;27,8
LBYcc2023;LBY;Libya;2023;cc;-1,53;0,20;7;3,8;0,0;11,8
LIEcc2023;LIE;Liechtenstein;2023;cc;1,71;0,30;2;95,3;84,4;99,1
LTUcc2023;LTU;Lithuania;2023;cc;0,78;0,15;11;77,8;66,5;81,1
LUXcc2023;LUX;Luxembourg;2023;cc;1,93;0,17;9;96,7;93,9;99,1
MACcc2023;MAC;Macao SAR;2023;cc;0,85;0,27;3;79,2;63,2;88,7
MDGcc2023;MDG;Madagascar;2023;cc;-1,00;0,15;13;18,4;9,9;24,1
MWIcc2023;MWI;Malawi;2023;cc;-0,60;0,15;13;29,7;21,2;42,0
MYScc2023;MYS;Malaysia;2023;cc;0,30;0,16;10;61,8;55,7;68,4
MDVcc2023;MDV;Maldives;2023;cc;-0,40;0,30;4;39,6;20,3;58,0
MLIcc2023;MLI;Mali;2023;cc;-0,86;0,15;13;21,2;15,1;28,8
MLTcc2023;MLT;Malta;2023;cc;0,11;0,17;8;58,5;49,1;63,2
MHLcc2023;MHL;Marshall Islands;2023;cc;0,41;0,35;3;64,2;49,5;81,1
MTQcc2023;MTQ;Martinique;2023;cc;0,62;0,46;1;70,8;49,5;89,6
MRTcc2023;MRT;Mauritania;2023;cc;-0,82;0,17;11;22,6;15,6;32,1
MUScc2023;MUS;Mauritius;2023;cc;0,45;0,18;10;65,6;59,0;76,4
MEXcc2023;MEX;Mexico;2023;cc;-1,02;0,16;11;17,5;9,4;24,1
FSMcc2023;FSM;Micronesia;2023;cc;0,78;0,35;3;78,3;59,9;89,6
MDAcc2023;MDA;Moldova;2023;cc;-0,28;0,16;8;46,7;32,1;53,8
MCOcc2023;MCO;Monaco;2023;cc;1,25;0,46;1;87,7;65,6;96,7
MNGcc2023;MNG;Mongolia;2023;cc;-0,49;0,16;11;35,4;24,1;47,2
MNEcc2023;MNE;Montenegro;2023;cc;-0,08;0,17;9;51,9;42,0;59,9
MARcc2023;MAR;Morocco;2023;cc;-0,54;0,16;11;33,0;23,1;46,7
MOZcc2023;MOZ;Mozambique;2023;cc;-0,83;0,16;12;22,2;15,6;31,1
MMRcc2023;MMR;Myanmar;2023;cc;-1,22;0,17;8;11,8;4,2;19,8
NAMcc2023;NAM;Namibia;2023;cc;0,11;0,17;9;59,0;49,1;63,2
NRUcc2023;NRU;Nauru;2023;cc;0,59;0,46;2;69,8;49,5;89,2
NPLcc2023;NPL;Nepal;2023;cc;-0,51;0,17;11;34,0;23,6;47,2
NLDcc2023;NLD;Netherlands;2023;cc;1,87;0,17;9;96,2;92,9;99,1
ANTcc2023;ANT;Netherlands Antilles;2023;cc;..;..;..;..;..;..
NZLcc2023;NZL;New Zealand;2023;cc;2,08;0,18;9;98,6;95,8;99,5
NICcc2023;NIC;Nicaragua;2023;cc;-1,39;0,17;8;7,1;1,4;14,6
NERcc2023;NER;Niger;2023;cc;-0,56;0,16;12;31,6;22,6;44,8
NGAcc2023;NGA;Nigeria;2023;cc;-1,04;0,15;13;17,0;9,4;23,1
NIUcc2023;NIU;Niue;2023;cc;-0,18;1,06;1;49,1;0,0;92,0
MKDcc2023;MKD;North Macedonia;2023;cc;-0,35;0,17;9;42,5;28,3;51,9
NORcc2023;NOR;Norway;2023;cc;2,11;0,18;7;99,1;95,8;100,0
OMNcc2023;OMN;Oman;2023;cc;0,22;0,20;6;60,8;50,9;66,5
PAKcc2023;PAK;Pakistan;2023;cc;-1,00;0,16;12;18,9;9,9;24,5
PLWcc2023;PLW;Palau;2023;cc;0,59;0,46;2;69,8;49,5;89,2
PANcc2023;PAN;Panama;2023;cc;-0,63;0,17;9;28,3;19,8;42,5
PNGcc2023;PNG;Papua New Guinea;2023;cc;-0,66;0,18;8;27,4;19,8;42,0
PRYcc2023;PRY;Paraguay;2023;cc;-1,06;0,17;10;16,0;8,0;23,1
PERcc2023;PER;Peru;2023;cc;-0,72;0,16;11;25,5;19,3;37,3
PHLcc2023;PHL;Philippines;2023;cc;-0,54;0,15;12;32,5;23,1;45,3
POLcc2023;POL;Poland;2023;cc;0,57;0,15;11;68,9;61,8;78,3
PRTcc2023;PRT;Portugal;2023;cc;0,70;0,16;10;74,1;64,6;80,2
PRIcc2023;PRI;Puerto Rico;2023;cc;0,02;0,27;4;55,2;38,2;65,6
QATcc2023;QAT;Qatar;2023;cc;0,70;0,19;7;75,0;63,2;81,1
ROMcc2023;ROM;Romania;2023;cc;0,04;0,14;12;56,1;48,1;60,8
RUScc2023;RUS;Russian Federation;2023;cc;-1,10;0,16;8;15,6;7,5;21,7
RWAcc2023;RWA;Rwanda;2023;cc;0,67;0,16;11;73,1;63,2;80,2
REUcc2023;REU;Reunion;2023;cc;0,62;0,46;1;70,8;49,5;89,6
WSMcc2023;WSM;Samoa;2023;cc;0,73;0,33;4;75,9;59,9;88,2
SMRcc2023;SMR;San Marino;2023;cc;1,25;0,46;1;87,7;65,6;96,7
SAUcc2023;SAU;Saudi Arabia;2023;cc;0,54;0,18;8;66,5;60,8;78,8
SENcc2023;SEN;Senegal;2023;cc;0,06;0,15;13;56,6;48,1;61,8
SRBcc2023;SRB;Serbia;2023;cc;-0,45;0,16;9;38,2;25,5;48,1
SYCcc2023;SYC;Seychelles;2023;cc;1,63;0,26;5;93,9;84,4;98,1
SLEcc2023;SLE;Sierra Leone;2023;cc;-0,57;0,15;14;31,1;22,6;43,4
SGPcc2023;SGP;Singapore;2023;cc;2,04;0,16;11;98,1;95,3;99,5
SVKcc2023;SVK;Slovak Republic;2023;cc;0,29;0,14;12;61,3;56,1;66,0
SVNcc2023;SVN;Slovenia;2023;cc;0,78;0,15;11;77,4;66,5;81,1
SLBcc2023;SLB;Solomon Islands;2023;cc;-0,13;0,27;5;50,5;31,1;61,8
SOMcc2023;SOM;Somalia;2023;cc;-1,73;0,18;8;0,9;0,0;6,1
ZAFcc2023;ZAF;South Africa;2023;cc;-0,28;0,16;11;45,8;32,1;53,3
SSDcc2023;SSD;South Sudan;2023;cc;-1,97;0,22;7;0,0;0,0;1,9
ESPcc2023;ESP;Spain;2023;cc;0,63;0,16;10;71,7;62,7;79,7
LKAcc2023;LKA;Sri Lanka;2023;cc;-0,38;0,16;9;40,1;27,4;50,5
KNAcc2023;KNA;St. Kitts and Nevis;2023;cc;0,41;0,29;2;64,6;51,9;79,2
LCAcc2023;LCA;St. Lucia;2023;cc;0,54;0,25;3;67,0;59,0;80,2
VCTcc2023;VCT;St. Vincent and the Grenadines;2023;cc;0,74;0,25;3;76,4;61,8;83,5
SDNcc2023;SDN;Sudan;2023;cc;-1,50;0,16;11;4,2;0,0;9,9
SURcc2023;SUR;Suriname;2023;cc;-0,40;0,19;6;39,2;25,0;51,4
SWEcc2023;SWE;Sweden;2023;cc;2,03;0,17;9;97,6;95,3;99,5
CHEcc2023;CHE;Switzerland;2023;cc;2,02;0,20;7;97,2;94,8;99,5
SYRcc2023;SYR;Syrian Arab Republic;2023;cc;-1,75;0,19;6;0,5;0,0;6,1
STPcc2023;STP;Sao Tome and Principe;2023;cc;0,36;0,21;8;63,2;55,2;74,5
TWNcc2023;TWN;Taiwan;2023;cc;1,20;0,18;9;84,4;79,7;90,6
TJKcc2023;TJK;Tajikistan;2023;cc;-1,38;0,18;8;7,5;1,4;15,6
TZAcc2023;TZA;Tanzania;2023;cc;-0,32;0,15;14;43,9;31,1;51,9
THAcc2023;THA;Thailand;2023;cc;-0,49;0,16;10;35,8;24,1;48,1
TMPcc2023;TMP;Timor-Leste;2023;cc;-0,23;0,21;7;47,6;31,1;59,0
TGOcc2023;TGO;Togo;2023;cc;-0,62;0,15;13;28,8;20,8;41,0
TONcc2023;TON;Tonga;2023;cc;-0,31;0,35;3;45,3;20,8;60,8
TTOcc2023;TTO;Trinidad and Tobago;2023;cc;-0,37;0,17;8;41,0;27,4;51,4
TUNcc2023;TUN;Tunisia;2023;cc;-0,34;0,16;11;42,9;29,2;51,9
TKMcc2023;TKM;Turkmenistan;2023;cc;-1,42;0,20;5;6,6;0,0;15,6
TUVcc2023;TUV;Tuvalu;2023;cc;0,65;0,35;3;72,2;57,1;84,4
TURcc2023;TUR;Turkiye;2023;cc;-0,50;0,17;9;34,9;23,6;47,2
UGAcc2023;UGA;Uganda;2023;cc;-1,04;0,16;12;16,5;9,4;23,1
UKRcc2023;UKR;Ukraine;2023;cc;-0,69;0,16;9;25,9;19,8;38,2
AREcc2023;ARE;United Arab Emirates;2023;cc;1,07;0,17;8;82,5;78,3;89,6
GBRcc2023;GBR;United Kingdom;2023;cc;1,48;0,18;8;90,6;84,0;95,3
USAcc2023;USA;United States;2023;cc;1,12;0,17;10;83,0;78,8;90,1
URYcc2023;URY;Uruguay;2023;cc;1,57;0,17;9;92,5;88,7;95,8
UZBcc2023;UZB;Uzbekistan;2023;cc;-0,81;0,15;10;23,1;16,0;32,1
VUTcc2023;VUT;Vanuatu;2023;cc;-0,01;0,26;6;53,8;38,2;63,2
VENcc2023;VEN;Venezuela;2023;cc;-1,69;0,17;9;1,4;0,0;6,6
VNMcc2023;VNM;Viet Nam;2023;cc;-0,42;0,16;10;38,7;26,4;49,5
VIRcc2023;VIR;Virgin Islands;2023;cc;-0,02;0,46;1;53,3;23,6;76,4
WBGcc2023;WBG;West Bank and Gaza;2023;cc;-0,68;0,25;5;26,4;15,6;47,2
YEMcc2023;YEM;Yemen;2023;cc;-1,65;0,18;8;1,9;0,0;7,5
ZMBcc2023;ZMB;Zambia;2023;cc;-0,48;0,16;12;36,8;24,5;48,1
ZWEcc2023;ZWE;Zimbabwe;2023;cc;-1,26;0,15;13;9,9;3,8;17,9
AFGge2023;AFG;Afghanistan;2023;ge;-1,99;0,29;6;1,4;0,0;6,6
ALBge2023;ALB;Albania;2023;ge;0,25;0,28;6;60,4;42,9;75,0
DZAge2023;DZA;Algeria;2023;ge;-0,67;0,24;7;27,4;13,2;40,1
ASMge2023;ASM;American Samoa;2023;ge;0,65;0,51;1;73,1;43,4;91,5
ADOge2023;ADO;Andorra;2023;ge;1,48;0,51;1;91,0;70,8;99,5
AGOge2023;AGO;Angola;2023;ge;-1,01;0,24;8;14,6;8,0;29,2
AIAge2023;AIA;Anguilla;2023;ge;1,20;0,51;1;87,3;62,3;99,1
ATGge2023;ATG;Antigua and Barbuda;2023;ge;0,38;0,51;1;63,7;34,4;87,7
ARGge2023;ARG;Argentina;2023;ge;-0,38;0,24;8;36,3;23,1;52,4
ARMge2023;ARM;Armenia;2023;ge;-0,18;0,28;6;43,9;27,8;62,3
ABWge2023;ABW;Aruba;2023;ge;0,80;0,38;2;78,3;58,5;90,6
AUSge2023;AUS;Australia;2023;ge;1,59;0,28;6;93,9;82,5;99,1
AUTge2023;AUT;Austria;2023;ge;1,33;0,26;8;89,6;79,7;97,2
AZEge2023;AZE;Azerbaijan;2023;ge;-0,03;0,30;5;50,5;32,1;67,5
BHSge2023;BHS;Bahamas;2023;ge;0,27;0,34;3;61,8;39,2;78,8
BHRge2023;BHR;Bahrain;2023;ge;0,70;0,26;7;74,5;61,8;82,5
BGDge2023;BGD;Bangladesh;2023;ge;-0,70;0,25;10;26,9;12,7;40,1
BRBge2023;BRB;Barbados;2023;ge;0,38;0,33;4;64,2;44,3;79,7
BLRge2023;BLR;Belarus;2023;ge;-0,99;0,31;4;15,1;6,6;33,0
BELge2023;BEL;Belgium;2023;ge;1,04;0,26;7;80,7;69,8;90,6
BLZge2023;BLZ;Belize;2023;ge;-0,38;0,38;2;36,8;14,6;59,4
BENge2023;BEN;Benin;2023;ge;-0,22;0,21;10;42,5;30,7;56,6
BMUge2023;BMU;Bermuda;2023;ge;1,20;0,51;1;87,3;62,3;99,1
BTNge2023;BTN;Bhutan;2023;ge;0,57;0,29;6;69,3;55,7;81,1
BOLge2023;BOL;Bolivia;2023;ge;-0,64;0,26;8;29,2;13,2;42,5
BIHge2023;BIH;Bosnia and Herzegovina;2023;ge;-0,97;0,29;6;15,6;7,5;33,0
BWAge2023;BWA;Botswana;2023;ge;0,43;0,22;9;67,0;53,8;78,8
BRAge2023;BRA;Brazil;2023;ge;-0,55;0,24;8;32,1;16,5;44,8
BRNge2023;BRN;Brunei Darussalam;2023;ge;1,40;0,34;3;90,1;78,8;98,1
BGRge2023;BGR;Bulgaria;2023;ge;0,05;0,24;9;53,3;37,7;67,5
BFAge2023;BFA;Burkina Faso;2023;ge;-0,83;0,22;10;21,2;11,3;34,0
BDIge2023;BDI;Burundi;2023;ge;-1,20;0,23;7;11,3;6,1;21,2
KHMge2023;KHM;Cambodia;2023;ge;-0,31;0,26;9;38,2;24,5;56,1
CMRge2023;CMR;Cameroon;2023;ge;-0,91;0,21;11;17,5;9,9;31,1
CANge2023;CAN;Canada;2023;ge;1,52;0,28;6;92,0;81,6;98,1
CPVge2023;CPV;Cape Verde;2023;ge;0,01;0,25;7;52,4;35,4;66,5
CYMge2023;CYM;Cayman Islands;2023;ge;1,24;0,38;2;88,2;70,3;97,6
CAFge2023;CAF;Central African Republic;2023;ge;-1,74;0,23;8;4,2;0,9;8,5
TCDge2023;TCD;Chad;2023;ge;-1,48;0,21;10;7,5;2,4;12,7
CHLge2023;CHL;Chile;2023;ge;0,72;0,24;8;75,9;62,3;82,5
CHNge2023;CHN;China;2023;ge;0,68;0,26;7;73,6;60,4;82,1
COLge2023;COL;Colombia;2023;ge;-0,08;0,24;9;48,1;33,5;62,3
COMge2023;COM;Comoros;2023;ge;-1,54;0,26;6;6,6;2,4;12,7
ZARge2023;ZAR;Congo;2023;ge;-1,69;0,21;10;4,7;0,9;9,0
COGge2023;COG;Congo;2023;ge;-1,33;0,24;8;9,4;4,2;16,5
COKge2023;COK;Cook Islands;2023;ge;-0,15;0,94;1;44,8;4,7;89,6
CRIge2023;CRI;Costa Rica;2023;ge;0,26;0,26;8;60,8;43,9;73,6
HRVge2023;HRV;Croatia;2023;ge;0,71;0,26;8;75,5;62,3;82,5
CUBge2023;CUB;Cuba;2023;ge;-0,48;0,31;4;33,5;15,1;52,8
CYPge2023;CYP;Cyprus;2023;ge;0,74;0,26;7;76,4;62,3;84,4
CZEge2023;CZE;Czech Republic;2023;ge;1,11;0,25;8;82,5;74,5;92,0
CIVge2023;CIV;Cote d'Ivoire;2023;ge;-0,36;0,21;12;37,3;26,4;50,5
DNKge2023;DNK;Denmark;2023;ge;2,02;0,26;7;98,6;93,4;100,0
DJIge2023;DJI;Djibouti;2023;ge;-0,73;0,23;7;25,5;12,7;37,7
DMAge2023;DMA;Dominica;2023;ge;0,26;0,42;2;61,3;35,4;79,7
DOMge2023;DOM;Dominican Republic;2023;ge;0,13;0,26;7;56,6;38,2;68,9
ECUge2023;ECU;Ecuador;2023;ge;-0,49;0,26;7;32,5;16,5;48,6
EGYge2023;EGY;Egypt;2023;ge;-0,24;0,24;8;42,0;29,2;57,5
SLVge2023;SLV;El Salvador;2023;ge;0,05;0,26;9;53,8;36,8;67,5
GNQge2023;GNQ;Equatorial Guinea;2023;ge;-1,32;0,27;4;9,9;3,3;19,3
ERIge2023;ERI;Eritrea;2023;ge;-1,79;0,23;7;2,8;0,9;8,0
ESTge2023;EST;Estonia;2023;ge;1,26;0,24;9;88,7;79,2;96,7
SWZge2023;SWZ;Eswatini;2023;ge;-0,88;0,26;7;19,3;9,9;34,4
ETHge2023;ETH;Ethiopia;2023;ge;-0,77;0,22;9;24,1;12,7;35,4
FJIge2023;FJI;Fiji;2023;ge;0,49;0,41;3;68,4;43,4;84,4
FINge2023;FIN;Finland;2023;ge;1,74;0,26;7;97,2;89,2;99,5
FRAge2023;FRA;France;2023;ge;1,14;0,26;8;83,0;75,5;93,4
GUFge2023;GUF;French Guiana;2023;ge;1,28;0,38;2;89,2;73,1;97,6
GABge2023;GAB;Gabon;2023;ge;-0,78;0,25;7;23,1;11,3;36,8
GMBge2023;GMB;Gambia;2023;ge;-0,59;0,22;11;29,7;16,5;42,0
GEOge2023;GEO;Georgia;2023;ge;0,79;0,29;6;77,8;62,3;88,7
DEUge2023;DEU;Germany;2023;ge;1,19;0,26;8;85,4;76,9;95,3
GHAge2023;GHA;Ghana;2023;ge;-0,09;0,20;13;47,2;35,4;59,0
GRCge2023;GRC;Greece;2023;ge;0,15;0,26;8;57,5;40,1;69,3
GRLge2023;GRL;Greenland;2023;ge;0,76;0,49;1;77,4;49,1;93,4
GRDge2023;GRD;Grenada;2023;ge;-0,01;0,42;2;50,9;26,4;73,6
GUMge2023;GUM;Guam;2023;ge;0,65;0,51;1;73,1;43,4;91,5
GTMge2023;GTM;Guatemala;2023;ge;-0,90;0,26;7;18,4;9,4;34,0
GINge2023;GIN;Guinea;2023;ge;-0,91;0,22;10;17,0;9,9;31,1
GNBge2023;GNB;Guinea-Bissau;2023;ge;-1,43;0,24;7;8,0;2,4;13,2
GUYge2023;GUY;Guyana;2023;ge;-0,29;0,31;4;39,6;21,2;58,5
HTIge2023;HTI;Haiti;2023;ge;-2,23;0,28;6;0,9;0,0;3,3
HNDge2023;HND;Honduras;2023;ge;-0,80;0,24;9;22,6;11,3;35,4
HKGge2023;HKG;Hong Kong;2023;ge;1,55;0,27;7;92,9;82,1;98,1
HUNge2023;HUN;Hungary;2023;ge;0,37;0,24;9;62,7;50,5;77,4
ISLge2023;ISL;Iceland;2023;ge;1,56;0,28;6;93,4;82,1;98,1
INDge2023;IND;India;2023;ge;0,48;0,25;9;67,9;53,8;79,7
IDNge2023;IDN;Indonesia;2023;ge;0,58;0,25;9;69,8;58,0;80,2
IRNge2023;IRN;Iran;2023;ge;-1,02;0,28;6;14,2;7,1;31,1
